ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
109,InicioServicio,128.61,0.00,0,1,128.61491388600166,,0.29760398652388176,,
110,Llegada,128.94,0.32,0,1,,,,,
105,FinServicio,130.02,1.08,0,1,120.41527175742172,130.02241491554344,,9.607143158121703,9.607143158121715
111,Llegada,130.26,0.24,1,1,,,,,
112,Llegada,130.58,0.32,1,1,,,,,
112,InicioServicio,130.58,0.00,0,1,130.57939787976576,,,,
109,FinServicio,130.75,0.17,1,1,128.61491388600166,130.75346683519982,,2.138552949198157,2.436156935722039
110,InicioServicio,130.75,0.00,0,1,130.75346683519982,,1.8150581338578604,,
110,FinServicio,132.23,1.48,0,1,130.75346683519982,132.229713519717,,1.4762466845171718,3.291304818375039
112,FinServicio,132.29,0.06,0,1,130.57939787976576,132.29296828504383,,1.7135704052780725,1.7135704052780625
113,Llegada,134.36,2.06,0,0,,,,,
113,InicioServicio,134.36,0.00,0,1,134.3567402087535,,,,
113,FinServicio,136.93,2.57,0,1,134.3567402087535,136.92928193911024,,2.572541730356743,2.5725417303567326
106,FinServicio,137.39,0.46,1,1,126.73102350590686,137.38817098795258,,10.657147482045712,14.69781416488064
111,InicioServicio,137.39,0.00,0,1,137.38817098795258,,7.129036594682532,,
114,Llegada,137.94,0.55,0,0,,,,,
114,InicioServicio,137.94,0.00,0,1,137.9355351772578,,,,
115,Llegada,138.45,0.51,0,1,,,,,
116,Llegada,139.45,1.01,1,1,,,,,
117,Llegada,139.62,0.17,1,1,,,,,
